Keys;bg;cs;en;hu;it;ro;sk
Fotogaléria;_NEPRELOZENE_;Fotogaléria;Photogallery;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Fotogaléria
Heslo;_NEPRELOZENE_;Heslo;Passwords do not match;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Heslo
Heslá sa nezhodujú;_NEPRELOZENE_;Heslá sa nezhodujú;Password;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Heslá sa nezhodujú
Hlavná stránka;_NEPRELOZENE_;Hlavná stránka;Main page;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Hlavná stránka
Hľadať podľa meno, e-mail;_NEPRELOZENE_;Hľadať podľa meno, e-mail;Search by name, email;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Hľadať podľa meno, e-mail
Hľadať podľa meno, e-mail, tel. číslo;_NEPRELOZENE_;Hľadať podľa meno, e-mail, tel. číslo;Search by name, email, phone number;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Hľadať podľa meno, e-mail, tel. číslo
Hľadať podľa názvu;_NEPRELOZENE_;Hľadať podľa názvu;Search by title;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Hľadať podľa názvu
Hľadať podľa názvu alebo adresy;_NEPRELOZENE_;Hľadať podľa názvu alebo adresy;Search by title or address;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Hľadať podľa názvu alebo adresy
Import dát;_NEPRELOZENE_;Import dát;Data import;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Import dát
Importovaný;_NEPRELOZENE_;Importovaný;Imported;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Importovaný
Importovať;_NEPRELOZENE_;Importovať;Import;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Importovať
Importovať salóny;_NEPRELOZENE_;Importovať salóny;Import salon;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Importovať salóny
Importovať ďalšie;_NEPRELOZENE_;Importovať ďalšie;Import another;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Importovať ďalšie
Info;_NEPRELOZENE_;Info;Info;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Info
Instagram;_NEPRELOZENE_;Instagram;Instagram;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Instagram
Iné spôsoby platby;_NEPRELOZENE_;Iné spôsoby platby;Other payment methods;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Iné spôsoby platby
IČ DPH;_NEPRELOZENE_;IČ DPH;VAT registration number;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;IČ DPH
IČO;_NEPRELOZENE_;IČO;Company registration number;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;IČO
Jazyk;_NEPRELOZENE_;Jazyk;Language;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Jazyk
Kategória;_NEPRELOZENE_;Kategória;Category;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Kategória
Kategórie;_NEPRELOZENE_;Kategórie;Categories;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Kategórie
Kontaktná osoba;_NEPRELOZENE_;Kontaktná osoba;Contact person;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Kontaktná osoba
Kontaktné údaje;_NEPRELOZENE_;Kontaktné údaje;Contact details;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Kontaktné údaje
Kozmetika;_NEPRELOZENE_;Kozmetika;Cosmetics;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Kozmetika
Kozmetika so zadaným názvom už existuje;_NEPRELOZENE_;Kozmetika so zadaným názvom už existuje;Cosmetics with the specified name already exist;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Kozmetika so zadaným názvom už existuje
Krajina;_NEPRELOZENE_;Krajina;Country;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Krajina
Krajiny;_NEPRELOZENE_;Krajiny;Countries;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Krajiny
Logo;_NEPRELOZENE_;Logo;Logo;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Logo
Marketingové účely;_NEPRELOZENE_;Marketingové účely;Marketing purposes;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Marketingové účely
Max. počet znakov je {{max}};_NEPRELOZENE_;Max. počet znakov je {{max}};Max. number of characters is {{max}};_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Max. počet znakov je {{max}}
Meno;_NEPRELOZENE_;Meno;Name;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Meno
Mesto;_NEPRELOZENE_;Mesto;City;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Mesto
Moje konto;_NEPRELOZENE_;Moje konto;My account;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Moje konto
Možnosti platby;_NEPRELOZENE_;Možnosti platby;Payment options;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Možnosti platby
Máte neuložené zmeny vo formulári. Želáte si pokračovať ďalej?;_NEPRELOZENE_;Máte neuložené zmeny vo formulári. Želáte si pokračovať ďalej?;You have unsaved changes to the form. Would you like to continue?;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Máte neuložené zmeny vo formulári. Želáte si pokračovať ďalej?
Môj profil;_NEPRELOZENE_;Môj profil;My profile;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Môj profil
Na schválenie;_NEPRELOZENE_;Na schválenie;For approval;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Na schválenie
Na stránku, ktorú sa pokúšate zobraziť, nemáte dostatočné oprávnenia Ak si myslíte, že by ste mali mať prístup, prosím kontaktujte nás;_NEPRELOZENE_;Na stránku, ktorú sa pokúšate zobraziť, nemáte dostatočné oprávnenia Ak si myslíte, že by ste mali mať prístup, prosím kontaktujte nás;You do not have sufficient permissions for the page you are trying to view.If you think you should have access, please contact us;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Na stránku, ktorú sa pokúšate zobraziť, nemáte dostatočné oprávnenia Ak si myslíte, že by ste mali mať prístup, prosím kontaktujte nás
Na vašu adresu odošleme link na obnovenie hesla. Prosím zadajte svoju adresu.;_NEPRELOZENE_;Na vašu adresu odošleme link na obnovenie hesla. Prosím zadajte svoju adresu.;We will send a password reset link to your address. Please enter your address.;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Na vašu adresu odošleme link na obnovenie hesla. Prosím zadajte svoju adresu.
Nahrajte maximálne {{maxCount}} súborov;_NEPRELOZENE_;Nahrajte maximálne {{maxCount}} súborov;Upload a maximum of {{maxCount}} files;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nahrajte maximálne {{maxCount}} súborov
Nahrať;_NEPRELOZENE_;Nahrať;Upload ;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nahrať
Naozaj chcete odstrániť {{entity}} ?;_NEPRELOZENE_;Naozaj chcete odstrániť {{entity}} ?;Do you really want to remove {{entity}} ?;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Naozaj chcete odstrániť {{entity}} ?
Nastavenie hesla;_NEPRELOZENE_;Nastavenie hesla;Password setting;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nastavenie hesla
Nastaviť heslo;_NEPRELOZENE_;Nastaviť heslo;Set password;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nastaviť heslo
Načítavam...;_NEPRELOZENE_;Načítavam...;Loading...;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Načítavam...
Ne;_NEPRELOZENE_;Ne;Sun;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Ne
Nedeľa;_NEPRELOZENE_;Nedeľa;Sunday;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nedeľa
Nepublikovaný;_NEPRELOZENE_;Nepublikovaný;Unpublished;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nepublikovaný
Nesprávny formát emailovej adresy;_NEPRELOZENE_;Nesprávny formát emailovej adresy;Wrong email address format;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nesprávny formát emailovej adresy
Nespárované;_NEPRELOZENE_;Nespárované;Unpaired;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nespárované
Nevymazaný;_NEPRELOZENE_;Nevymazaný;Undeleted;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nevymazaný
Nie je validná IP;_NEPRELOZENE_;Nie je validná IP;Invalid IP address ;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nie je validná IP
Nie je validná číselná hodnota;_NEPRELOZENE_;Nie je validná číselná hodnota;Not a valid numerical value;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nie je validná číselná hodnota
Nový používateľ;_NEPRELOZENE_;Nový používateľ;New user;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Nový používateľ
Názov;_NEPRELOZENE_;Názov;Name;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Názov
Názov kategórie (EN);_NEPRELOZENE_;Názov kategórie (EN);New categories (EN);_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Názov kategórie (EN)
Názov musí byť vyplnení pre aspoň jeden jazyk;_NEPRELOZENE_;Názov musí byť vyplnení pre aspoň jeden jazyk;Name must be filled in for at least one language ;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Názov musí byť vyplnení pre aspoň jeden jazyk
O nás;_NEPRELOZENE_;O nás;About us;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;O nás
Obchodnými podmienkami;_NEPRELOZENE_;Obchodnými podmienkami;Terms and Conditions;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Obchodnými podmienkami
Obnoviť;_NEPRELOZENE_;Obnoviť;Refresh;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Obnoviť
Obrázok;_NEPRELOZENE_;Obrázok;Image;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Obrázok
Od;_NEPRELOZENE_;Od;From;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Od
Odhlásiť;_NEPRELOZENE_;Odhlásiť;Logout;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Odhlásiť
Odkaz na Facebook;_NEPRELOZENE_;Odkaz na Facebook;Link to Facebook;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Odkaz na Facebook
Odkaz na Instagram;_NEPRELOZENE_;Odkaz na Instagram;Link to Instagram;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Odkaz na Instagram
Odkaz na webovú stránku salóna;_NEPRELOZENE_;Odkaz na webovú stránku salóna;Link to the salon website;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Odkaz na webovú stránku salóna
Odoslať;_NEPRELOZENE_;Odoslať;Send;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Odoslať
Odoslať email;_NEPRELOZENE_;Odoslať email;Send email;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Odoslať email
Odstrániť {{entity}};_NEPRELOZENE_;Odstrániť {{entity}};Remove {{entity}};_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Odstrániť {{entity}}
Odvetvie;_NEPRELOZENE_;Odvetvie;Industry;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Odvetvie
Oprávnenie;_NEPRELOZENE_;Oprávnenie;Permissions;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Oprávnenie
Osobné údaje;_NEPRELOZENE_;Osobné údaje;Personal data;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Osobné údaje
Otvorené cez víkend;_NEPRELOZENE_;Otvorené cez víkend;Open at the weekend;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Otvorené cez víkend
Otváracie hodiny;_NEPRELOZENE_;Otváracie hodiny;Open hours;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Otváracie hodiny
PSČ;_NEPRELOZENE_;PSČ;ZIP CODE;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;PSČ
Pia;_NEPRELOZENE_;Pia;Fri;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pia
Piatok;_NEPRELOZENE_;Piatok;Friday;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Piatok
Platba kartou;_NEPRELOZENE_;Platba kartou;Card payment;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Platba kartou
Po;_NEPRELOZENE_;Po;Mon;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Po
Po - Pia;_NEPRELOZENE_;Po - Pia;Mon-Fri;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Po - Pia
Po spracovaní vám na vašu e-mailovú adresu zašleme súhrnnú správu o importe.;_NEPRELOZENE_;Po spracovaní vám na vašu e-mailovú adresu zašleme súhrnnú správu o importe.;After processing, we will send you an import summary report to your email address.;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Po spracovaní vám na vašu e-mailovú adresu zašleme súhrnnú správu o importe.
Podpora;_NEPRELOZENE_;Podpora;Support;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Podpora
Podpora nebola nájdená;_NEPRELOZENE_;Podpora nebola nájdená;Support not found;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Podpora nebola nájdená
Pohlavie;_NEPRELOZENE_;Pohlavie;Gender;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pohlavie
Pokračovať;_NEPRELOZENE_;Pokračovať;Continue;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pokračovať
Položku;_NEPRELOZENE_;Položku;Item;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Položku
Pomoc a podpora;_NEPRELOZENE_;Pomoc a podpora;Help and support;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pomoc a podpora
Pon - Pi rovnaké otváracie hodiny;_NEPRELOZENE_;Pon - Pi rovnaké otváracie hodiny;Mon - Fri same opening hours;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pon - Pi rovnaké otváracie hodiny
Pondelok;_NEPRELOZENE_;Pondelok;Monday;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pondelok
Pondelok - Piatok;_NEPRELOZENE_;Pondelok - Piatok;Monday-Friday;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pondelok - Piatok
Popis;_NEPRELOZENE_;Popis;Description;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Popis
Popisné číslo;_NEPRELOZENE_;Popisné číslo;Descriptive number;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Popisné číslo
Potrebujete pomôcť?;_NEPRELOZENE_;Potrebujete pomôcť?;Need help?;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Potrebujete pomôcť?
Potrebujete pomôcť?;_NEPRELOZENE_;Potrebujete pomôcť?;Need help?;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Potrejete pomôcť?
Potvrdiť;_NEPRELOZENE_;Potvrdiť;Confirm;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Potvrdiť
Používatelia;_NEPRELOZENE_;Používatelia;Users;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Používatelia
Používateľovi chýbajú oprávnenia na akciu;_NEPRELOZENE_;Používateľovi chýbajú oprávnenia na akciu;User is missing permissions for an action;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Používateľovi chýbajú oprávnenia na akciu
Poznámka;_NEPRELOZENE_;Poznámka;Note;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Poznámka
Poznámka k adrese;_NEPRELOZENE_;Poznámka k adrese;Note to address;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Poznámka k adrese
Pozvať do tímu;_NEPRELOZENE_;Pozvať do tímu;Invite to team;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pozvať do tímu
Počet znakov musí byť {{length}};_NEPRELOZENE_;Počet znakov musí byť {{length}};Number of characters must be {{length}};_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Počet znakov musí byť {{length}}
Požiadavka na spracovanie dát bola úspešná.;_NEPRELOZENE_;Požiadavka na spracovanie dát bola úspešná.;Request to process the data was successful.;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Požiadavka na spracovanie dát bola úspešná.
Požiadať o schválenie;_NEPRELOZENE_;Požiadať o schválenie;Request approval;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Požiadať o schválenie
Pre prístup potvrďte základné údaje;_NEPRELOZENE_;Pre prístup potvrďte základné údaje;Pre prístup potvrďte základné údaje;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pre prístup potvrďte základné údaje
Pre túto akciu nemáte dostatočné oprávnenia.;_NEPRELOZENE_;Pre túto akciu nemáte dostatočné oprávnenia.;You do not have sufficient credentials for this action.;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pre túto akciu nemáte dostatočné oprávnenia.
Prehľad;_NEPRELOZENE_;Prehľad;Overview;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Prehľad
Pridať interval;_NEPRELOZENE_;Pridať interval;Add interval;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať interval
Pridať kategóriu;_NEPRELOZENE_;Pridať kategóriu;Add category;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať kategóriu
Pridať podporu;_NEPRELOZENE_;Pridať podporu;Add support;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať podporu
Pridať používateľa;_NEPRELOZENE_;Pridať používateľa;Add user;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať používateľa
Pridať poznámku;_NEPRELOZENE_;Pridať poznámku;Add note;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať poznámku
Pridať salón;_NEPRELOZENE_;Pridať salón;Add salon;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať salón
Pridať službu;_NEPRELOZENE_;Pridať službu;Add service;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať službu
Pridať telefón;_NEPRELOZENE_;Pridať telefón;Add phone number;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať telefón
Pridať zamestnanca;_NEPRELOZENE_;Pridať zamestnanca;Add employee;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať zamestnanca
Pridať zamestnancov;_NEPRELOZENE_;Pridať zamestnancov;Add employees;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať zamestnancov
Pridať zákazníka;_NEPRELOZENE_;Pridať zákazníka;Add customer;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať zákazníka
Pridať {{entity}};_NEPRELOZENE_;Pridať {{entity}};Add {{entity}};_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Pridať {{entity}}
Priezvisko;_NEPRELOZENE_;Priezvisko;Last name;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Priezvisko
Prihlásenie;_NEPRELOZENE_;Prihlásenie;Login;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Prihlásenie
Prihlásiť sa;_NEPRELOZENE_;Prihlásiť sa;Sign in;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Prihlásiť sa
Priradiť {{entity}};_NEPRELOZENE_;Priradiť {{entity}};Assign {{entity}};_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Priradiť {{entity}}
