Keys; cs ; en ; sk 
 Cena od ({{symbol}}); _NEPRELOZENE_; Price from ({{symbol}}); Cena od ({{symbol}})
 Cenníky; _NEPRELOZENE_; Price lists; Cenníky
 Chyba; _NEPRELOZENE_; Error; Chyba
 Chyba pripojenia k serveru; _NEPRELOZENE_; Error connecting to server; Chyba pripojenia k serveru
 Chybne vyplnený formulár; _NEPRELOZENE_; Incorrectly filled out form; Chybne vyplnený formulár
 Chybný rozsah; _NEPRELOZENE_; Invalid range; Chybný rozsah
 Chybný rozsah dátumov; _NEPRELOZENE_; Invalid date range; Chybný rozsah dátumov
 DIČ; _NEPRELOZENE_; TIN; DIČ
 Detail podpory; _NEPRELOZENE_; Support detail; Detail podpory
 Detail používateľa; _NEPRELOZENE_; User detail; Detail používateľa
 Detail salónu; _NEPRELOZENE_; Salon detail; Detail salónu
 Detail služby; _NEPRELOZENE_; Service detail; Detail služby
 Detail zamestnanca; _NEPRELOZENE_; Employee detail; Detail zamestnanca
 Detail zákazníka; _NEPRELOZENE_; Customer detail; Detail zákazníka
 Do; _NEPRELOZENE_; To; Do
 Doplňujúci popis; _NEPRELOZENE_; Additional description; Doplňujúci popis
 Dátum; _NEPRELOZENE_; Date; Dátum
 Dátum nesmie byť v minulosti; _NEPRELOZENE_; The date must not be in the past; Dátum nesmie byť v minulosti
 Dôvod zamietnutia; _NEPRELOZENE_; Reason for rejection; Dôvod zamietnutia
 Email; _NEPRELOZENE_; Email; Email
 Email nie je k dispozícii; _NEPRELOZENE_; No emial address was provided; Email nie je k dispozícii
 Email nie je platný; _NEPRELOZENE_; Invalid email; Email nie je platný
 Emailové adresy; _NEPRELOZENE_; Email addresses; Emailové adresy
 Externista; _NEPRELOZENE_; External; Externista
 Ešte nemáte účet?; _NEPRELOZENE_; Don't have an account yet?; Ešte nemáte účet?
 Facebook; _NEPRELOZENE_; Facebook; Facebook
 Fakturačná adresa; _NEPRELOZENE_; Invoice address; Fakturačná adresa
 Fakturačné údaje; _NEPRELOZENE_; Billing info; Fakturačné údaje
 Firemné údaje; _NEPRELOZENE_; Company data; Firemné údaje
 Fotogaléria; _NEPRELOZENE_; Photogallery; Fotogaléria
 Google mapa je aktuálne nedostupná.; _NEPRELOZENE_; Google map is currently unavailable.; Google mapa je aktuálne nedostupná.
 Heslo; _NEPRELOZENE_; Password; Heslo
 Heslá sa nezhodujú; _NEPRELOZENE_; Passwords do not match; Heslá sa nezhodujú
 História salónu; _NEPRELOZENE_; History of the salon; História salónu
 Hlavná stránka; _NEPRELOZENE_; Main page; Hlavná stránka
 Hodnota (EN); _NEPRELOZENE_; Value (EN); Hodnota (EN)
 Hodnoty; _NEPRELOZENE_; Values; Hodnoty
 Hodnoty (min); _NEPRELOZENE_; Value (in minutes); Hodnoty (min)
 Hodnoty sú uvedené v minútach; _NEPRELOZENE_; Values are given in minutes; Hodnoty sú uvedené v minútach
 Hľadať podľa krajiny; _NEPRELOZENE_; Search by country; Hľadať podľa krajiny
 Hľadať podľa meno, e-mail; _NEPRELOZENE_; Search by name, email; Hľadať podľa meno, e-mail
 Hľadať podľa meno, e-mail, tel. číslo; _NEPRELOZENE_; Search by name, email, phone number; Hľadať podľa meno, e-mail, tel. číslo
 Hľadať podľa názvu; _NEPRELOZENE_; Search by title; Hľadať podľa názvu
 Hľadať podľa názvu alebo adresy; _NEPRELOZENE_; Search by title or address; Hľadať podľa názvu alebo adresy
 Ikona; _NEPRELOZENE_; Icon; Ikona
 Import dát; _NEPRELOZENE_; Data import; Import dát
 Importovať; _NEPRELOZENE_; Import; Importovať
 Importovať salóny; _NEPRELOZENE_; Import salon; Importovať salóny
 Importovať ďalšie; _NEPRELOZENE_; Import another; Importovať ďalšie
 Info; _NEPRELOZENE_; Info; Info
 Instagram; _NEPRELOZENE_; Instagram; Instagram
 Iné spôsoby platby; _NEPRELOZENE_; Other payment methods; Iné spôsoby platby
 IČ DPH; _NEPRELOZENE_; VAT registration number; IČ DPH
 IČO; _NEPRELOZENE_; Company registration number; IČO
 Jazyk; _NEPRELOZENE_; Language; Jazyk
 Jazyky; _NEPRELOZENE_; Languages; Jazyky
 Jazyky, ktorými sa dá v salóne dohovoriť; _NEPRELOZENE_; Languages you speak; Jazyky, ktorými sa dá v salóne dohovoriť
 Kategória; _NEPRELOZENE_; Category; Kategória
 Kategória služby; _NEPRELOZENE_; Category of service; Kategória služby
 Kategórie; _NEPRELOZENE_; Categories; Kategórie
 Kontaktná osoba; _NEPRELOZENE_; Contact person; Kontaktná osoba
 Kontaktné údaje; _NEPRELOZENE_; Contact details; Kontaktné údaje
 Kontaktovať Špecialistu; _NEPRELOZENE_; Contact Specialist; Kontaktovať Špecialistu
 Kozmetika; _NEPRELOZENE_; Cosmetics; Kozmetika
 Kozmetika so zadaným názvom už existuje; _NEPRELOZENE_; Cosmetics with the specified name already exist; Kozmetika so zadaným názvom už existuje
 Krajina; _NEPRELOZENE_; Country; Krajina
 Krajiny; _NEPRELOZENE_; Countries; Krajiny
 Logo; _NEPRELOZENE_; Logo; Logo
 Manažér; _NEPRELOZENE_; Manager; Manažér
 Marketingové účely; _NEPRELOZENE_; Marketing purposes; Marketingové účely
 Max. počet znakov je {{max}}; _NEPRELOZENE_; Max. number of characters is {{max}}; Max. počet znakov je {{max}}
 Meno; _NEPRELOZENE_; Name; Meno
 Meno a Priezvisko; _NEPRELOZENE_; Name and surname; Meno a Priezvisko
 Mesto; _NEPRELOZENE_; City; Mesto
 Min. počet znakov je {{min}}; _NEPRELOZENE_; Min. number of characters is {{min}}; Min. počet znakov je {{min}}
 Moje konto; _NEPRELOZENE_; My account; Moje konto
 Možnosti platby; _NEPRELOZENE_; Payment options; Možnosti platby
 Musíte zvoliť a nastaviť aspoň jednu hodnotu parametra!; _NEPRELOZENE_; You must select and set at least one parameter value!; Musíte zvoliť a nastaviť aspoň jednu hodnotu parametra!
 Máte neuložené zmeny vo formulári. Želáte si pokračovať ďalej?; _NEPRELOZENE_; You have unsaved changes to the form. Would you like to continue?; Máte neuložené zmeny vo formulári. Želáte si pokračovať ďalej?
 Môj profil; _NEPRELOZENE_; My profile; Môj profil
 Na schválenie; _NEPRELOZENE_; For approval; Na schválenie
 Na stránku, ktorú sa pokúšate zobraziť, nemáte dostatočné oprávnenia Ak si myslíte, že by ste mali mať prístup, prosím kontaktujte nás; _NEPRELOZENE_; You do not have sufficient permissions for the page you are trying to view.If you think you should have access, please contact us; Na stránku, ktorú sa pokúšate zobraziť, nemáte dostatočné oprávnenia Ak si myslíte, že by ste mali mať prístup, prosím kontaktujte nás
 Na vašu adresu odošleme link na obnovenie hesla. Prosím zadajte svoju adresu.; _NEPRELOZENE_; We will send a password reset link to your address. Please enter your address.; Na vašu adresu odošleme link na obnovenie hesla. Prosím zadajte svoju adresu.
 Na základe vašich kontantkých informácií sme v našej datábaze našli sálony, ktoré by mohli patriť vám; _NEPRELOZENE_; Based on your contact information, we found salons in our database that could belong to you; Na základe vašich kontantkých informácií sme v našej datábaze našli sálony, ktoré by mohli patriť vám
 Nahrajte maximálne {{maxCount}} súborov; _NEPRELOZENE_; Upload a maximum of {{maxCount}} files; Nahrajte maximálne {{maxCount}} súborov
 Nahrať; _NEPRELOZENE_; Upload; Nahrať
 Naozaj chcete odstrániť {{entity}} ?; _NEPRELOZENE_; Do you really want to remove {{entity}} ?; Naozaj chcete odstrániť {{entity}} ?
 Nastavenia; _NEPRELOZENE_; Settings; Nastavenia
 Nastavenie hesla; _NEPRELOZENE_; Password setting; Nastavenie hesla
 Nastaviť heslo; _NEPRELOZENE_; Set password; Nastaviť heslo
 Navrhované salóny; _NEPRELOZENE_; Suggested salons; Navrhované salóny
 Načítavam...; _NEPRELOZENE_; Loading...; Načítavam...
 Našim zákazníkom chceme priniesť najlepší salón lokátor na trhu. Preto pri schvaľovaní kontrolujeme kvalitu obsahu, pravdivosť a aktuálnosť informácii. Taktiež chceme chrániť vás, majiteľov salónov, pred podvodníkmi a zneužitím informácií.; _NEPRELOZENE_; We want to bring our customers the best salon locator on the market. Therefore, when approving, we check the quality of the content, the truthfulness and up-to-dateness of the information. We also want to protect you, salon owners, from fraudsters and misuse of information.; Našim zákazníkom chceme priniesť najlepší salón lokátor na trhu. Preto pri schvaľovaní kontrolujeme kvalitu obsahu, pravdivosť a aktuálnosť informácii. Taktiež chceme chrániť vás, majiteľov salónov, pred podvodníkmi a zneužitím informácií.
 Ne; _NEPRELOZENE_; Sun; Ne
 Nedeľa; _NEPRELOZENE_; Sunday; Nedeľa
 Nepublikované; _NEPRELOZENE_; Unpublished; Nepublikované
 Nepublikovaný; _NEPRELOZENE_; Unpublished; Nepublikovaný
 Nesprávny formát emailovej adresy; _NEPRELOZENE_; Wrong email address format; Nesprávny formát emailovej adresy
 Nespárované; _NEPRELOZENE_; Unpaired; Nespárované
 Nevadí, radi vám s tým pomôžeme. Ak využijete naše služby, získate; _NEPRELOZENE_; No problem, we'll be happy to help you. If you use our services, you will get; Nevadí, radi vám s tým pomôžeme. Ak využijete naše služby, získate
 Neviete vyplniť svoj profil salónu? Nedarí sa vám spraviť pekné fotky?; _NEPRELOZENE_; Can't fill out your salon profile? Can't take nice photos?; Neviete vyplniť svoj profil salónu? Nedarí sa vám spraviť pekné fotky?
 Nevymazaný; _NEPRELOZENE_; Undeleted; Nevymazaný
 Nie je validná IP; _NEPRELOZENE_; Invalid IP address; Nie je validná IP
 Nie je validná číselná hodnota; _NEPRELOZENE_; Not a valid numerical value; Nie je validná číselná hodnota
 Nie, toto je nedorozumenie; _NEPRELOZENE_; No, this is a misunderstanding; Nie, toto je nedorozumenie
 Notino Špecialista; _NEPRELOZENE_; Notino Specialist; Notino Špecialista
 Nový používateľ; _NEPRELOZENE_; New user; Nový používateľ
 Názov; _NEPRELOZENE_; Name; Názov
 Názov (EN); _NEPRELOZENE_; Name (EN); Názov (EN)
 Názov jazyka (EN); _NEPRELOZENE_; Language name (EN); Názov jazyka (EN)
 Názov kategórie (EN); _NEPRELOZENE_; Category name (EN); Názov kategórie (EN)
 Názov musí byť vyplnení pre aspoň jeden jazyk; _NEPRELOZENE_; Name must be filled in for at least one language; Názov musí byť vyplnení pre aspoň jeden jazyk
 O nás; _NEPRELOZENE_; About us; O nás
 O výsledku vás budeme informovať emailom; _NEPRELOZENE_; You will be informed about the result by email; O výsledku vás budeme informovať emailom
 Obchodnými podmienkami; _NEPRELOZENE_; Terms and Conditions; Obchodnými podmienkami
 Obrázok; _NEPRELOZENE_; Image; Obrázok
 Od; _NEPRELOZENE_; From; Od
 Odhlásiť; _NEPRELOZENE_; Logout; Odhlásiť
 Odkaz na Facebook; _NEPRELOZENE_; Link to Facebook; Odkaz na Facebook
 Odkaz na Instagram; _NEPRELOZENE_; Link to Instagram; Odkaz na Instagram
 Odkaz na Pinterest; _NEPRELOZENE_; Link to Pinterest; Odkaz na Pinterest
 Odkaz na TikTok; _NEPRELOZENE_; Link to TikTok; Odkaz na TikTok
 Odkaz na Youtube; _NEPRELOZENE_; Link to Youtube; Odkaz na Youtube
 Odkaz na webovú stránku salóna; _NEPRELOZENE_; Link to the salon website; Odkaz na webovú stránku salóna
 Odoslať; _NEPRELOZENE_; Send; Odoslať
 Odoslať email; _NEPRELOZENE_; Send email; Odoslať email
 Odstrániť {{entity}}; _NEPRELOZENE_; Remove {{entity}}; Odstrániť {{entity}}
 Odvetvia; _NEPRELOZENE_; Industries; Odvetvia
 Odvetvie; _NEPRELOZENE_; Industry; Odvetvie
 Oprávnenie; _NEPRELOZENE_; Permissions; Oprávnenie
 Osobné údaje; _NEPRELOZENE_; Personal data; Osobné údaje
 Otvorené cez víkend; _NEPRELOZENE_; Open at the weekend; Otvorené cez víkend
 Otváracie hodiny; _NEPRELOZENE_; Open hours; Otváracie hodiny
 PREMIUM; _NEPRELOZENE_; PREMIUM; PREMIUM
 PREMIUM salóny; _NEPRELOZENE_; PREMIUM salons; PREMIUM salóny
 PSČ; _NEPRELOZENE_; ZIP CODE; PSČ
 Parameter; _NEPRELOZENE_; Parameter; Parameter
 Parametre; _NEPRELOZENE_; Parameters; Parametre
 Pia; _NEPRELOZENE_; Fri; Pia
 Piatok; _NEPRELOZENE_; Friday; Piatok
 Pinterest; _NEPRELOZENE_; Pinterest; Pinterest
 Platba kartou; _NEPRELOZENE_; Card payment; Platba kartou
 Platba v hotovosti; _NEPRELOZENE_; Cash payment; Platba v hotovosti
 Po; _NEPRELOZENE_; Mon; Po
 Po - Pia; _NEPRELOZENE_; Mon-Fri; Po - Pia
 Po spracovaní vám na vašu e-mailovú adresu zašleme súhrnnú správu o importe.; _NEPRELOZENE_; After processing, we will send you an import summary report to your email address.; Po spracovaní vám na vašu e-mailovú adresu zašleme súhrnnú správu o importe.
 Podpora; _NEPRELOZENE_; Support; Podpora
 Podpora nebola nájdená; _NEPRELOZENE_; Support not found; Podpora nebola nájdená
 Pohlavie; _NEPRELOZENE_; Gender; Pohlavie
 Pokračovať; _NEPRELOZENE_; Continue; Pokračovať
 Položku; _NEPRELOZENE_; Item; Položku
 Pomoc a podpora; _NEPRELOZENE_; Help and support; Pomoc a podpora
 Pon - Pi rovnaké otváracie hodiny; _NEPRELOZENE_; Mon - Fri same opening hours; Pon - Pi rovnaké otváracie hodiny
 Pondelok; _NEPRELOZENE_; Monday; Pondelok
 Pondelok - Piatok; _NEPRELOZENE_; Monday-Friday; Pondelok - Piatok
 Popis; _NEPRELOZENE_; Description; Popis
 Popisné číslo; _NEPRELOZENE_; Descriptive number; Popisné číslo
 Poslať kolegovi pozvánku; _NEPRELOZENE_; Send an invitation to a colleague; Poslať kolegovi pozvánku
 Potrebujete pomôcť?; _NEPRELOZENE_; Need help?; Potrebujete pomôcť?
 Potvrdiť; _NEPRELOZENE_; Confirm; Potvrdiť
 Použiť parameter; _NEPRELOZENE_; Use parameter; Použiť parameter
 Používatelia; _NEPRELOZENE_; Users; Používatelia
 Používateľovi chýbajú oprávnenia na akciu; _NEPRELOZENE_; User is missing permissions for an action; Používateľovi chýbajú oprávnenia na akciu
 Používateľský profil; _NEPRELOZENE_; User profile; Používateľský profil
 Poznámka; _NEPRELOZENE_; Note; Poznámka
 Poznámka k adrese; _NEPRELOZENE_; Note to address; Poznámka k adrese
 Poznámka k parkovaniu; _NEPRELOZENE_; Note to parking; Poznámka k parkovaniu
 Poznámka pre otváracie hodiny; _NEPRELOZENE_; Note for opening hours; Poznámka pre otváracie hodiny
 Pozvať do tímu; _NEPRELOZENE_; Invite to team; Pozvať do tímu
 Pozvánkový email; _NEPRELOZENE_; Invite email; Pozvánkový email
 Počas schvaľovania; _NEPRELOZENE_; during approval; Počas schvaľovania
 Počet znakov musí byť {{length}}; _NEPRELOZENE_; Number of characters must be {{length}}; Počet znakov musí byť {{length}}
 Požiadavka na spracovanie dát bola úspešne vytvorená.; _NEPRELOZENE_; Request to process the data was successfully created.; Požiadavka na spracovanie dát bola úspešne vytvorená.
 Požiadať o novú službu; _NEPRELOZENE_; Request a new service; Požiadať o novú službu
 Požiadať o schválenie; _NEPRELOZENE_; Request approval; Požiadať o schválenie
 Pre prístup potvrďte základné údaje; _NEPRELOZENE_; Confirm basic data for access; Pre prístup potvrďte základné údaje
 Pre publikovanie salónu je potrebné mať vyplnené nasledujúce údaje; _NEPRELOZENE_; Salon publication requires filled the following data; Pre publikovanie salónu je potrebné mať vyplnené nasledujúce údaje
 Pre túto akciu nemáte dostatočné oprávnenia.; _NEPRELOZENE_; You do not have sufficient credentials for this action.; Pre túto akciu nemáte dostatočné oprávnenia.
 Prebieha nahrávanie; _NEPRELOZENE_; Uploading...; Prebieha nahrávanie
 Pred schválením je potrebné; _NEPRELOZENE_; It is necessary before approval; Pred schválením je potrebné
 Prehľad; _NEPRELOZENE_; Overview; Prehľad
 Premium vs. Basic salóny; _NEPRELOZENE_; Premium vs. Basic salons; Premium vs. Basic salóny
 Prečo salóny schvaľujeme?; _NEPRELOZENE_; Why do we approve salons?; Prečo salóny schvaľujeme?
 Pridať hodnotu; _NEPRELOZENE_; Add value; Pridať hodnotu
 Pridať interval; _NEPRELOZENE_; Add interval; Pridať interval
 Pridať kategóriu; _NEPRELOZENE_; Add category; Pridať kategóriu
 Pridať podporu; _NEPRELOZENE_; Add support; Pridať podporu
 Pridať používateľa; _NEPRELOZENE_; Add user; Pridať používateľa
 Pridať salón; _NEPRELOZENE_; Add salon; Pridať salón
 Pridať telefón; _NEPRELOZENE_; Add phone number; Pridať telefón
 Pridať zamestnanca; _NEPRELOZENE_; Add employee; Pridať zamestnanca
 Pridať zamestnancov; _NEPRELOZENE_; Add employees; Pridať zamestnancov
 Pridať zákazníka; _NEPRELOZENE_; Add customer; Pridať zákazníka
 Pridať {{entity}}; _NEPRELOZENE_; Add {{entity}}; Pridať {{entity}}
 Priezvisko; _NEPRELOZENE_; Last name; Priezvisko
 Prihlásenie; _NEPRELOZENE_; Login; Prihlásenie
 Prihlásiť sa; _NEPRELOZENE_; Sign in; Prihlásiť sa
 Prijať pozvánku; _NEPRELOZENE_; Accept invite; Prijať pozvánku
 Pripravujeme prehľad pre salón - {{name}}; _NEPRELOZENE_; We are preparing overview for salon - {{name}}; Pripravujeme prehľad pre salón - {{name}}
 Priradení zamestnanci; _NEPRELOZENE_; Assigned employees; Priradení zamestnanci
 Priradiť služby; _NEPRELOZENE_; Assign services; Priradiť služby
 Priradiť {{entity}}; _NEPRELOZENE_; Assign {{entity}}; Priradiť {{entity}}
 Publikovaný; _NEPRELOZENE_; Published; Publikovaný
 Recepčný; _NEPRELOZENE_; Receptionist; Recepčný
 Registrovať; _NEPRELOZENE_; Register; Registrovať
 Registrovať sa; _NEPRELOZENE_; Register now; Registrovať sa
 Registrácia; _NEPRELOZENE_; Registration; Registrácia
 Rola; _NEPRELOZENE_; Role; Rola
 Salón čaká na schválenie zmien. Údaje salónu, po túto dobu nie je možné editovať.; _NEPRELOZENE_; There are changes waiting to be approved. Data cannot be edited during this time.; Salón čaká na schválenie zmien. Údaje salónu, po túto dobu nie je možné editovať.
 Salóny; _NEPRELOZENE_; Salons; Salóny
 Salóny čakajúce na schválenie; _NEPRELOZENE_; Salons pending for approval; Salóny čakajúce na schválenie
 Schvalovací proces; _NEPRELOZENE_; Approval process; Schvalovací proces
 Schválenie; _NEPRELOZENE_; Approval; Schválenie
 Schválený salón bude zverejnený zákazníkom Notino aplikácie; _NEPRELOZENE_; The approved salon will be published to customers of the Notino application; Schválený salón bude zverejnený zákazníkom Notino aplikácie
 Sem napíšte dôvod skrytia; _NEPRELOZENE_; Please write here the reason for hiding; Sem napíšte dôvod skrytia
 Sem napíšte dôvod zamietnutia; _NEPRELOZENE_; Please write here the reason for rejection; Sem napíšte dôvod zamietnutia
 Skrytie salónu; _NEPRELOZENE_; Hiding salon; Skrytie salónu
 Skryť salón; _NEPRELOZENE_; Hide salon; Skryť salón
 Služba; _NEPRELOZENE_; Service; Služba
 Služby; _NEPRELOZENE_; Services; Služby
 So; _NEPRELOZENE_; Sat; So
 Sobota; _NEPRELOZENE_; Saturday; Sobota
 Sociálne siete; _NEPRELOZENE_; Social networks; Sociálne siete
 Spravovanie znamená tvorbu, upravovanie a mazanie vybraných údajov a informácii (ak nie je v zátvorke definované inak).; _NEPRELOZENE_; Managing salon means creating, editing and deleting selected data and information (unless otherwise defined in parentheses); Spravovanie znamená tvorbu, upravovanie a mazanie vybraných údajov a informácii (ak nie je v zátvorke definované inak).
 Správa firemných a fakturačných údajov salónu; _NEPRELOZENE_; Management of salon company and invoicing data; Správa firemných a fakturačných údajov salónu
 Správa offline rezervácií; _NEPRELOZENE_; Management of offline reservations; Správa offline rezervácií
 Správa online rezervácií; _NEPRELOZENE_; Management of online reservations; Správa online rezervácií
 Správa oprávnení zamesnancov; _NEPRELOZENE_; Management of employee permissions; Správa oprávnení zamesnancov
 Správa profilu salónu; _NEPRELOZENE_; Management of salon profile; Správa profilu salónu
 Správa služieb salónu; _NEPRELOZENE_; Management of salon services; Správa služieb salónu
 Správa zamestnancov salónu; _NEPRELOZENE_; Management of salon employees; Správa zamestnancov salónu
 Správa zákazníkov salónu; _NEPRELOZENE_; Management of salon customers; Správa zákazníkov salónu
 Spárované; _NEPRELOZENE_; Paired; Spárované
 Späť; _NEPRELOZENE_; Back to; Späť
 St; _NEPRELOZENE_; Wed; St
 Stav konta; _NEPRELOZENE_; Account status; Stav konta
 Stav salónov; _NEPRELOZENE_; State of salons; Stav salónov
 Stavy; _NEPRELOZENE_; States; Stavy
 Ste majiteľom alebo prevádzkovateľom tohoto salónu?; _NEPRELOZENE_; Are you the owner or operator of this salon?; Ste majiteľom alebo prevádzkovateľom tohoto salónu?
 Streda; _NEPRELOZENE_; Wednesday; Streda
 Stránka, ktorú sa pokúšate zobraziť, neexistuje Prosím prejdite späť na hlavnú stránku Ak si myslíte, že je to spôsobené chybou aplikácie, prosím kontaktujte nás; _NEPRELOZENE_; The page you are trying to open does not exist. Please navigate back to the main page. If you think this is due to an application error, please contact us; Stránka, ktorú sa pokúšate zobraziť, neexistuje Prosím prejdite späť na hlavnú stránku Ak si myslíte, že je to spôsobené chybou aplikácie, prosím kontaktujte nás
 Stále však môžete editovať existujúce; _NEPRELOZENE_; However, you can still edit existing; Stále však môžete editovať existujúce
 Súbor je príliš veľký (max. {{size}} {{unit}}); _NEPRELOZENE_; File is too large (max. {{size}} {{unit}}); Súbor je príliš veľký (max. {{size}} {{unit}})
 Telefón; _NEPRELOZENE_; Phone; Telefón
 Telefónne čísla; _NEPRELOZENE_; Telephone numbers; Telefónne čísla
 Telefónne číslo nie je platné; _NEPRELOZENE_; Telephone number is not valid; Telefónne číslo nie je platné
 TikTok; _NEPRELOZENE_; TikTok; TikTok
 Toto pole je povinné; _NEPRELOZENE_; This field is required; Toto pole je povinné
 Trvanie (minúty); _NEPRELOZENE_; Duration (minutes); Trvanie (minúty)
 Trvanie do (minúty); _NEPRELOZENE_; Duration to (minutes); Trvanie do (minúty)
 Trvanie od (minúty); _NEPRELOZENE_; Duration from (minutes); Trvanie od (minúty)
 Typ salónu; _NEPRELOZENE_; Salon type; Typ salónu
 Táto hodnota už je zadaná; _NEPRELOZENE_; This value is already entered; Táto hodnota už je zadaná
 Táto operácia nie je povolená.; _NEPRELOZENE_; This operation is not allowed.; Táto operácia nie je povolená.
 Táto operácia nie je povolená. Hlavnú kategóriu je možné pridať cez tlačidlo "Pridať kategóriu".; _NEPRELOZENE_; This operation is not allowed. The main category can be added via the button "Add category"  ; Táto operácia nie je povolená. Hlavnú kategóriu je možné pridať cez tlačidlo "Pridať kategóriu".
 Týždeň; _NEPRELOZENE_; A week; Týždeň
 Udeľujem súhlas so spracúvaním osobných údajov na; _NEPRELOZENE_; I give my consent to the processing of my personal data for; Udeľujem súhlas so spracúvaním osobných údajov na
 Ulica; _NEPRELOZENE_; Street; Ulica
 Uložiť; _NEPRELOZENE_; Save; Uložiť
 Uložiť odvetvia; _NEPRELOZENE_; Save industries; Uložiť odvetvia
 Uložiť {{entity}}; _NEPRELOZENE_; Save {{entity}}; Uložiť {{entity}}
 Upozornenie; _NEPRELOZENE_; Notice; Upozornenie
 Upozornenie!; _NEPRELOZENE_; Warning!; Upozornenie!
 Upravený; _NEPRELOZENE_; Last updated; Upravený
 Upraviť; _NEPRELOZENE_; Edit; Upraviť
 Upraviť jazyk; _NEPRELOZENE_; Edit language; Upraviť jazyk
 Upraviť kategóriu; _NEPRELOZENE_; Edit category; Upraviť kategóriu
 Upraviť kozmetiku; _NEPRELOZENE_; Adjust cosmetics; Upraviť kozmetiku
 Upraviť rolu; _NEPRELOZENE_; Edit role; Upraviť rolu
 Upraviť {{entity}}; _NEPRELOZENE_; Edit {{entity}}; Upraviť {{entity}}
 Upraviť špecialistu; _NEPRELOZENE_; Edit specialist; Upraviť špecialistu
 Ups niečo sa pokazilo; _NEPRELOZENE_; Oops something went wrong; Ups niečo sa pokazilo
 Ut; _NEPRELOZENE_; Tue; Ut
 Utorok; _NEPRELOZENE_; Tuesday; Utorok
 Uveďte adresu, na ktorú odošleme link pre pozvanie zamestnanca do tímu.; _NEPRELOZENE_; Please provide the address to which we will send the link to invite the employee to the team.; Uveďte adresu, na ktorú odošleme link pre pozvanie zamestnanca do tímu.
 Už ste registrovaný? ; _NEPRELOZENE_; Already registered?; Už ste registrovaný? 
 V sálone boli vykonané zmeny, ktoré nie sú uložené. Pred požiadaním o schválenie je potrebné zmeny najprv uložiť.; _NEPRELOZENE_; There are changes that need to be approved. The changes must be saved frist before requesting approval.; V sálone boli vykonané zmeny, ktoré nie sú uložené. Pred požiadaním o schválenie je potrebné zmeny najprv uložiť.
